thrds,tps,qps,99% latency
64,4613.48,73810.72,18.28
64,4604.17,73675.87,18.28
64,4610.84,73767.04,18.28
64,4617.17,73878.88,18.28
64,4613.03,73817.31,18.28
64,4608.80,73737.05,18.28
64,4606.74,73703.38,18.28
64,4619.65,73914.34,18.28
64,4610.54,73770.77,18.28
64,4603.50,73659.44,18.61
64,4614.70,73836.25,18.28
64,4615.62,73848.68,18.61
64,4611.21,73770.96,18.28
64,4617.20,73885.82,18.28
64,4610.60,73766.97,18.28
64,4622.77,73951.75,18.28
64,4613.00,73816.55,18.61
64,4603.01,73649.51,18.28
64,4613.61,73807.32,18.28
64,4609.40,73748.60,18.61
64,4604.02,73683.92,18.28
64,4610.54,73759.89,18.28
64,4609.61,73749.58,18.28
64,4604.43,73675.53,18.28
64,4609.68,73754.05,18.28
64,4605.78,73687.75,18.61
64,4601.19,73625.30,18.61
64,4610.79,73773.05,18.28
64,4615.03,73832.02,18.28
64,4606.12,73703.32,18.28
64,4601.39,73625.19,18.61
64,4617.01,73870.11,18.61
64,4614.03,73822.28,18.28
64,4605.79,73704.90,18.28
64,4616.65,73848.38,18.28
64,4611.82,73796.31,18.28
64,4609.12,73729.09,18.61
64,4612.57,73806.89,18.28
64,4607.51,73733.50,18.28
64,4612.97,73808.07,18.28
64,4614.57,73838.14,18.61
64,4609.98,73757.76,18.61
64,4609.04,73746.91,18.28
64,4598.07,73560.47,18.61
64,4602.15,73648.19,18.28
64,4621.75,73936.82,18.28
64,4597.85,73570.07,18.28
64,4608.77,73729.26,18.28
64,4611.83,73790.11,18.28
64,4625.22,74013.86,18.28
64,4613.03,73801.15,18.28
64,4609.88,73759.48,18.28
64,4619.81,73914.32,18.28
64,4605.26,73686.41,18.28
64,4607.65,73720.96,18.28
64,4610.34,73772.84,18.28
64,4608.02,73724.05,18.61
64,4589.18,73427.35,18.61
64,4616.96,73858.81,18.28
64,4606.38,73709.51,18.28
64,4610.80,73781.24,18.28
64,4619.20,73908.63,18.28
64,4619.99,73918.18,18.28
64,4623.03,73971.69,18.28
64,4601.67,73629.88,18.61
64,4608.59,73718.19,18.28
64,4612.84,73820.40,18.28
64,4610.28,73751.03,18.28
64,4616.67,73874.05,18.28
64,4607.62,73726.94,18.28
64,4614.55,73823.65,18.28
64,4610.85,73775.37,18.61
64,4613.59,73823.41,18.28
64,4609.61,73744.52,18.28
64,4617.22,73887.53,18.28
64,4601.55,73633.86,18.28
64,4618.42,73883.09,18.28
64,4613.59,73803.65,18.28
64,4620.00,73926.27,18.28
64,4617.36,73868.32,18.28
64,4618.21,73902.21,18.28
64,4602.80,73650.37,18.28
64,4614.17,73833.40,18.28
64,4607.02,73708.74,18.61
64,4612.80,73786.82,18.28
64,4608.24,73743.21,18.28
64,4619.11,73901.56,18.28
64,4615.78,73846.63,18.28
64,4613.33,73814.12,18.28
64,4618.79,73899.26,18.28
64,4611.82,73797.28,18.28
64,4622.97,73962.67,18.28
64,4613.39,73827.79,18.28
64,4612.54,73794.81,18.28
64,4617.21,73879.14,18.28
64,4613.85,73804.60,18.28
64,4606.80,73718.93,18.61
64,4610.04,73770.44,18.28
64,4605.73,73681.85,18.28
64,4624.57,73995.78,18.28
64,4595.04,73516.29,18.28
64,4611.09,73774.24,18.28
64,4610.71,73777.00,18.61
64,4615.02,73838.19,18.28
64,4606.74,73694.05,18.28
64,4619.02,73922.49,18.28
64,4601.00,73618.40,18.61
64,4604.57,73661.90,18.28
64,4610.23,73776.22,18.28
64,4600.96,73619.02,18.61
64,4612.23,73795.26,18.28
64,4605.42,73680.91,18.61
64,4615.78,73849.64,18.28
64,4612.71,73802.95,18.61
64,4614.15,73830.47,18.61
64,4607.39,73721.90,18.61
64,4616.35,73856.40,18.61
64,4598.27,73576.68,18.61
64,4616.63,73868.12,18.61
64,4609.41,73738.53,18.28
64,4597.76,73555.97,18.28
64,4610.60,73771.15,18.28
64,4612.39,73804.57,18.61
64,4616.86,73856.72,18.61
64,4608.70,73756.68,18.61
64,4606.87,73703.39,18.28
64,4606.83,73727.41,18.28
64,4608.94,73733.51,18.28
64,4609.65,73752.00,18.28
64,4608.09,73722.71,18.28
64,4602.71,73647.09,18.28
64,4619.40,73901.27,18.28
64,4602.99,73646.84,18.28
64,4604.73,73685.06,18.28
64,4620.26,73913.68,18.28
64,4605.13,73703.74,18.28
64,4609.07,73731.89,18.28
64,4600.84,73638.70,18.61
64,4614.56,73803.93,18.28
64,4608.20,73740.73,18.28
64,4610.18,73763.20,18.61
64,4613.61,73819.72,18.28
64,4606.79,73701.12,18.61
64,4613.39,73822.79,18.28
64,4610.74,73764.27,18.28
64,4617.70,73889.77,18.28
64,4615.16,73842.80,18.28
64,4621.02,73936.74,18.28
64,4605.41,73681.37,18.28
64,4606.98,73717.61,18.28
64,4604.42,73675.86,18.28
64,4608.83,73733.25,18.28
64,4611.60,73788.84,18.28
64,4613.21,73806.61,18.28
64,4607.89,73721.05,18.28
64,4609.19,73755.08,18.28
64,4615.80,73841.40,18.61
64,4609.43,73755.20,18.28
64,4614.39,73839.27,18.28
64,4606.74,73701.46,18.61
64,4602.04,73635.05,18.28
64,4616.15,73857.67,18.61
64,4613.06,73819.70,18.28
64,4616.97,73853.77,18.28
64,4612.82,73817.71,18.28
64,4610.49,73758.23,18.28
64,4607.41,73719.55,18.28
64,4602.15,73642.40,18.28
64,4611.46,73780.83,18.61
64,4599.86,73600.92,18.61
64,4626.44,74018.89,18.28
64,4612.39,73799.20,18.28
64,4611.07,73782.52,18.61
64,4614.80,73830.07,18.28
64,4611.59,73769.51,18.28
64,4609.63,73772.44,18.28
64,4616.87,73870.09,18.28
64,4602.75,73653.40,18.28
64,4613.13,73798.65,18.28
64,4606.86,73706.63,18.28
64,4608.60,73742.26,18.28
64,4602.60,73643.85,18.61
64,4616.75,73864.35,18.28
64,4618.84,73909.31,18.28
64,4620.57,73920.67,18.28
64,4613.32,73806.54,18.28
64,4615.01,73859.18,18.28
64,4619.20,73893.85,18.28
64,4617.64,73883.69,18.28
64,4619.25,73907.43,18.28
64,4610.48,73775.15,18.28
64,4615.27,73842.18,18.28
64,4608.45,73736.07,18.28
64,4605.68,73698.74,18.61
64,4620.98,73929.66,18.28
64,4608.24,73723.11,18.28
64,4620.05,73912.84,18.28
64,4607.18,73725.80,18.28
64,4616.19,73865.08,18.28
64,4612.82,73795.38,18.28
64,4607.80,73721.55,18.28
64,4611.23,73795.93,18.28
64,4621.75,73931.64,18.28
64,4612.82,73810.76,18.61
64,4611.61,73790.10,18.61
64,4608.21,73723.77,18.28
64,4607.17,73720.16,18.28
64,4609.63,73749.65,18.28
64,4611.20,73780.53,18.28
64,4619.19,73906.87,18.28
64,4609.32,73751.05,18.28
64,4604.01,73667.35,18.61
64,4615.41,73850.90,18.61
64,4617.24,73857.50,18.28
64,4614.85,73839.32,18.28
64,4610.56,73767.81,18.28
64,4600.92,73616.50,18.28
64,4618.03,73899.05,18.28
64,4606.09,73692.81,18.28
64,4615.99,73850.28,18.61
64,4614.52,73836.68,18.28
64,4608.22,73734.07,18.28
64,4606.44,73706.24,18.28
64,4618.34,73898.49,18.28
64,4617.21,73863.15,18.28
64,4625.59,74006.17,18.28
64,4612.39,73818.06,18.28
64,4614.40,73819.75,18.28
64,4611.20,73782.53,18.28
64,4614.94,73833.64,18.61
64,4609.96,73772.21,18.28
64,4604.81,73660.17,18.28
64,4590.39,73452.84,18.95
64,4608.30,73727.68,18.28
64,4603.88,73670.08,18.28
64,4604.63,73671.11,18.28
64,4607.01,73710.11,18.28
64,4603.33,73656.68,18.61
64,4610.24,73755.40,18.28
64,4606.58,73705.95,18.28
64,4613.20,73818.40,18.28
64,4603.60,73648.85,18.28
64,4619.80,73915.53,18.28
64,4609.63,73756.95,18.28
64,4601.71,73629.03,18.61
64,4617.56,73878.34,18.28
64,4603.41,73652.50,18.28
64,4604.83,73680.26,18.61
64,4605.79,73697.21,18.61
64,4610.61,73769.10,18.28
64,4595.84,73536.78,18.28
64,4613.36,73812.79,18.28
64,4611.60,73771.85,18.28
64,4606.60,73707.54,18.61
64,4616.83,73893.07,18.61
64,4608.10,73711.97,18.28
64,4613.48,73814.41,18.28
64,4608.80,73742.98,18.61
64,4621.80,73964.73,18.28
64,4603.21,73631.74,18.28
64,4606.00,73701.01,18.28
64,4596.39,73538.05,18.61
64,4611.79,73792.48,18.28
64,4616.20,73862.78,18.28
64,4615.62,73841.40,18.28
64,4606.20,73708.39,18.28
64,4604.79,73675.51,18.28
64,4600.84,73613.87,18.61
64,4606.99,73698.68,18.61
64,4606.87,73718.33,18.61
64,4619.18,73911.32,18.28
64,4608.62,73731.97,18.28
64,4607.35,73723.46,18.28
64,4614.34,73840.06,18.28
64,4610.26,73739.32,18.61
64,4601.78,73637.92,18.61
64,4614.15,73830.46,18.28
64,4602.89,73647.84,18.28
64,4607.94,73720.31,18.28
64,4609.41,73764.61,18.28
64,4612.61,73803.68,18.28
64,4609.43,73738.34,18.28
64,4608.61,73749.12,18.28
64,4619.12,73896.57,18.61
64,4620.66,73929.60,18.28
64,4607.99,73732.83,18.28
64,4611.57,73764.14,18.28
64,4608.84,73769.10,18.28
64,4605.79,73686.97,18.28
64,4609.94,73752.69,18.28
64,4616.22,73855.53,18.28
64,4610.45,73770.40,18.28
64,4611.40,73787.46,18.28
64,4613.20,73811.07,18.28
64,4606.36,73701.53,18.61
64,4617.42,73876.00,18.28
64,4606.64,73702.89,18.28
64,4620.61,73929.50,18.28
64,4602.47,73648.47,18.61
64,4622.81,73964.64,18.28
64,4619.87,73912.89,18.28
64,4615.23,73845.76,18.28
64,4614.99,73831.69,18.28
64,4609.09,73757.82,18.28
64,4610.27,73758.16,18.28
64,4610.63,73769.90,18.28
64,4616.41,73860.52,18.28
64,4615.57,73842.73,18.61
64,4610.14,73771.87,18.28
64,4612.04,73792.46,18.28
64,4618.77,73886.46,18.28
64,4608.17,73752.48,18.28
64,4614.00,73806.82,18.61
64,4608.00,73734.83,18.28
64,4610.23,73772.08,18.28
64,4611.40,73770.77,18.61
64,4612.15,73806.65,18.28
64,4611.23,73763.94,18.28
64,4606.40,73719.99,18.28
64,4608.20,73713.44,18.28
64,4606.43,73715.09,18.28
64,4614.34,73830.51,18.28
64,4612.65,73801.27,18.61
64,4607.80,73714.67,18.28
64,4612.65,73805.68,18.28
64,4610.21,73766.89,18.28
64,4611.77,73782.75,18.28
64,4618.41,73906.33,18.28
64,4616.21,73860.92,18.28
64,4606.95,73704.62,18.28
64,4612.41,73804.21,18.28
64,4608.19,73735.40,18.28
64,4620.02,73901.15,18.28
64,4616.40,73875.57,18.28
64,4615.02,73832.88,18.28
64,4608.20,73740.34,18.28
64,4617.21,73875.37,18.28
64,4619.99,73913.23,18.28
64,4614.63,73835.16,18.28
64,4609.30,73752.40,18.28
64,4596.28,73538.32,18.61
64,4606.78,73714.04,18.28
64,4604.54,73673.05,18.28
64,4607.37,73706.66,18.61
64,4611.64,73778.57,18.61
64,4613.24,73832.46,18.28
64,4621.05,73926.98,18.28
64,4605.49,73676.89,18.28
64,4602.30,73647.01,18.28
64,4620.77,73922.90,18.61
64,4618.82,73912.75,18.28
64,4615.49,73849.11,18.28
64,4620.60,73933.64,18.28
64,4596.42,73534.77,18.61
64,4624.25,73985.01,18.28
64,4613.40,73812.65,18.28
64,4611.20,73783.60,18.28
64,4611.60,73794.86,18.28
64,4616.47,73846.04,18.28
64,4615.27,73865.78,18.28
64,4605.79,73679.50,18.28
64,4605.82,73691.46,18.28
64,4613.65,73814.65,18.28
64,4613.82,73821.87,18.28
64,4614.35,73827.65,18.28
64,4615.22,73847.74,18.28
64,4615.41,73850.72,18.28
64,4621.42,73943.73,18.28
64,4601.80,73622.00,18.61
64,4606.36,73704.37,18.28
64,4620.83,73935.22,18.28
64,4609.45,73744.83,18.28
64,4587.51,73416.63,18.61
64,4606.48,73692.04,18.28
64,4604.55,73669.00,18.28
64,4614.24,73829.69,18.28
64,4609.56,73753.63,18.28
